,Unnamed: 0,Date,Temperature,Humidity,Dew Point,mean_wind_speed_mph,Pincode
0,0,8/29/2013,68.0,75.0,58.0,11.0,94107
1,1,8/30/2013,69.0,70.0,58.0,13.0,94107
2,2,8/31/2013,64.0,75.0,56.0,15.0,94107
3,3,9/1/2013,66.0,68.0,56.0,13.0,94107
4,4,9/2/2013,69.0,77.0,60.0,12.0,94107
5,5,9/3/2013,67.0,65.0,56.0,15.0,94107
6,6,9/4/2013,68.0,72.0,57.0,19.0,94107
7,7,9/5/2013,66.0,74.0,56.0,21.0,94107
8,8,9/6/2013,71.0,58.0,51.0,8.0,94107
9,9,9/7/2013,73.0,59.0,54.0,8.0,94107
10,10,9/8/2013,65.0,70.0,54.0,11.0,94107
11,11,9/9/2013,66.0,70.0,55.0,11.0,94107
12,12,9/10/2013,66.0,73.0,56.0,8.0,94107
13,13,9/11/2013,68.0,68.0,55.0,9.0,94107
14,14,9/12/2013,65.0,73.0,57.0,11.0,94107
15,15,9/13/2013,62.0,80.0,54.0,15.0,94107
16,16,9/14/2013,62.0,77.0,54.0,16.0,94107
17,17,9/15/2013,66.0,72.0,55.0,13.0,94107
18,18,9/16/2013,65.0,74.0,55.0,16.0,94107
19,19,9/17/2013,63.0,72.0,53.0,22.0,94107
20,20,9/18/2013,66.0,60.0,49.0,10.0,94107
21,21,9/19/2013,67.0,58.0,50.0,10.0,94107
22,22,9/20/2013,65.0,70.0,56.0,10.0,94107
23,23,9/21/2013,63.0,75.0,56.0,12.0,94107
24,24,9/22/2013,63.0,70.0,53.0,10.0,94107
25,25,9/23/2013,68.0,64.0,54.0,9.0,94107
26,26,9/24/2013,65.0,66.0,52.0,19.0,94107
27,27,9/25/2013,62.0,64.0,47.0,20.0,94107
28,28,9/26/2013,62.0,53.0,43.0,11.0,94107
29,29,9/27/2013,66.0,46.0,41.0,7.0,94107
30,30,9/28/2013,66.0,60.0,48.0,9.0,94107
31,31,9/29/2013,66.0,70.0,56.0,7.0,94107
32,32,9/30/2013,66.0,69.0,57.0,10.0,94107
33,33,10/1/2013,63.0,61.0,48.0,13.0,94107
34,34,10/2/2013,62.0,61.0,46.0,14.0,94107
35,35,10/3/2013,62.0,47.0,41.0,13.0,94107
36,36,10/4/2013,69.0,38.0,42.0,9.0,94107
37,37,10/5/2013,69.0,36.0,36.0,5.0,94107
38,38,10/6/2013,70.0,40.0,44.0,5.0,94107
39,39,10/7/2013,68.0,46.0,41.0,9.0,94107
40,40,10/8/2013,62.0,59.0,47.0,10.0,94107
41,41,10/9/2013,60.0,60.0,45.0,8.0,94107
42,42,10/10/2013,62.0,61.0,47.0,5.0,94107
43,43,10/11/2013,57.0,70.0,47.0,9.0,94107
44,44,10/12/2013,56.0,71.0,46.0,13.0,94107
45,45,10/13/2013,62.0,60.0,47.0,7.0,94107
46,46,10/14/2013,64.0,49.0,41.0,5.0,94107
47,47,10/15/2013,67.0,40.0,37.0,5.0,94107
48,48,10/16/2013,67.0,41.0,42.0,4.0,94107
49,49,10/17/2013,68.0,56.0,45.0,7.0,94107
50,50,10/18/2013,60.0,66.0,48.0,10.0,94107
51,51,10/19/2013,62.0,65.0,48.0,9.0,94107
52,52,10/20/2013,57.0,77.0,47.0,11.0,94107
53,53,10/21/2013,55.0,80.0,47.0,9.0,94107
54,54,10/22/2013,56.0,82.0,48.0,10.0,94107
55,55,10/23/2013,55.0,83.0,48.0,9.0,94107
56,56,10/24/2013,57.0,73.0,47.0,9.0,94107
57,57,10/25/2013,59.0,69.0,47.0,9.0,94107
58,58,10/26/2013,60.0,67.0,48.0,9.0,94107
59,59,10/27/2013,55.0,76.0,47.0,18.0,94107
60,60,10/28/2013,57.0,69.0,46.0,15.0,94107
61,61,10/29/2013,58.0,66.0,45.0,7.0,94107
62,62,10/30/2013,57.0,66.0,45.0,7.0,94107
63,63,10/31/2013,59.0,54.0,43.0,4.0,94107
64,64,11/1/2013,63.0,57.0,45.0,4.0,94107
65,65,11/2/2013,57.0,73.0,47.0,13.0,94107
66,66,11/3/2013,55.0,56.0,41.0,9.0,94107
67,67,11/4/2013,56.0,56.0,39.0,9.0,94107
68,68,11/5/2013,61.0,44.0,38.0,4.0,94107
69,69,11/6/2013,61.0,52.0,42.0,0.0,94107
70,70,11/7/2013,64.0,61.0,46.0,8.0,94107
71,71,11/8/2013,60.0,72.0,48.0,8.0,94107
72,72,11/9/2013,57.0,64.0,47.0,3.0,94107
73,73,11/10/2013,58.0,72.0,48.0,5.0,94107
74,74,11/11/2013,58.0,72.0,49.0,5.0,94107
75,75,11/12/2013,64.0,62.0,50.0,7.0,94107
76,76,11/13/2013,60.0,77.0,51.0,8.0,94107
77,77,11/14/2013,56.0,84.0,49.0,13.0,94107
78,78,11/15/2013,58.0,66.0,44.0,12.0,94107
79,79,11/16/2013,56.0,67.0,46.0,14.0,94107
80,80,11/17/2013,56.0,69.0,45.0,6.0,94107
81,81,11/18/2013,53.0,69.0,44.0,5.0,94107
82,82,11/19/2013,58.0,80.0,50.0,7.0,94107
83,83,11/20/2013,55.0,90.0,53.0,7.0,94107
84,84,11/21/2013,56.0,64.0,42.0,11.0,94107
85,85,11/22/2013,63.0,30.0,32.0,14.0,94107
86,86,11/23/2013,58.0,50.0,38.0,5.0,94107
87,87,11/24/2013,53.0,70.0,43.0,3.0,94107
88,88,11/25/2013,53.0,70.0,43.0,2.0,94107
89,89,11/26/2013,55.0,65.0,44.0,2.0,94107
90,90,11/27/2013,55.0,69.0,45.0,1.0,94107
91,91,11/28/2013,58.0,64.0,44.0,4.0,94107
92,92,11/29/2013,54.0,70.0,45.0,3.0,94107
93,93,11/30/2013,54.0,79.0,47.0,4.0,94107
94,94,12/1/2013,57.0,66.0,46.0,4.0,94107
95,95,12/2/2013,54.0,80.0,49.0,14.0,94107
96,96,12/3/2013,51.0,69.0,38.0,14.0,94107
97,97,12/4/2013,46.0,46.0,26.0,5.0,94107
98,98,12/5/2013,43.0,45.0,24.0,4.0,94107
99,99,12/6/2013,45.0,65.0,37.0,9.0,94107
100,100,12/7/2013,45.0,63.0,32.0,13.0,94107
101,101,12/8/2013,42.0,53.0,24.0,10.0,94107
102,102,12/9/2013,44.0,49.0,23.0,8.0,94107
103,103,12/10/2013,43.0,56.0,30.0,3.0,94107
104,104,12/11/2013,48.0,60.0,32.0,3.0,94107
105,105,12/12/2013,46.0,67.0,35.0,4.0,94107
106,106,12/13/2013,47.0,76.0,41.0,4.0,94107
107,107,12/14/2013,50.0,61.0,37.0,2.0,94107
108,108,12/15/2013,50.0,60.0,38.0,2.0,94107
109,109,12/16/2013,54.0,54.0,37.0,2.0,94107
110,110,12/17/2013,53.0,60.0,41.0,3.0,94107
111,111,12/18/2013,51.0,72.0,43.0,12.0,94107
112,112,12/19/2013,53.0,52.0,36.0,12.0,94107
113,113,12/20/2013,50.0,50.0,32.0,5.0,94107
114,114,12/21/2013,54.0,74.0,45.0,7.0,94107
115,115,12/22/2013,54.0,64.0,42.0,1.0,94107
116,116,12/23/2013,52.0,64.0,40.0,1.0,94107
117,117,12/24/2013,52.0,64.0,41.0,2.0,94107
118,118,12/25/2013,53.0,60.0,40.0,1.0,94107
119,119,12/26/2013,53.0,63.0,41.0,1.0,94107
120,120,12/27/2013,50.0,64.0,41.0,2.0,94107
121,121,12/28/2013,52.0,59.0,38.0,2.0,94107
122,122,12/29/2013,55.0,43.0,29.0,3.0,94107
123,123,12/30/2013,51.0,65.0,40.0,3.0,94107
124,124,12/31/2013,50.0,73.0,40.0,3.0,94107
125,125,1/1/2014,49.0,69.0,40.0,1.0,94107
126,126,1/2/2014,53.0,58.0,39.0,1.0,94107
127,127,1/3/2014,54.0,59.0,41.0,4.0,94107
128,128,1/4/2014,55.0,65.0,42.0,2.0,94107
129,129,1/5/2014,55.0,45.0,32.0,5.0,94107
130,130,1/6/2014,52.0,61.0,40.0,2.0,94107
131,131,1/7/2014,54.0,70.0,45.0,4.0,94107
132,132,1/8/2014,56.0,79.0,48.0,9.0,94107
133,133,1/9/2014,56.0,73.0,47.0,12.0,94107
134,134,1/10/2014,54.0,75.0,46.0,6.0,94107
135,135,1/11/2014,52.0,83.0,46.0,6.0,94107
136,136,1/12/2014,53.0,70.0,42.0,7.0,94107
137,137,1/13/2014,55.0,50.0,37.0,3.0,94107
138,138,1/14/2014,58.0,45.0,37.0,2.0,94107
139,139,1/15/2014,61.0,44.0,34.0,3.0,94107
140,140,1/16/2014,60.0,45.0,35.0,2.0,94107
141,141,1/17/2014,56.0,53.0,39.0,1.0,94107
142,142,1/18/2014,55.0,57.0,39.0,1.0,94107
143,143,1/19/2014,55.0,54.0,38.0,2.0,94107
144,144,1/20/2014,55.0,60.0,41.0,2.0,94107
145,145,1/21/2014,56.0,48.0,37.0,2.0,94107
146,146,1/22/2014,55.0,64.0,41.0,5.0,94107
147,147,1/23/2014,57.0,51.0,38.0,5.0,94107
148,148,1/24/2014,55.0,56.0,41.0,3.0,94107
149,149,1/25/2014,57.0,60.0,43.0,2.0,94107
150,150,1/26/2014,57.0,65.0,43.0,6.0,94107
